2023-04-30T06:08:31.845Z, info, POST /admin/register, registered successfully
2023-04-30T06:09:01.378Z, info, POST /admin/register, registered successfully
2023-04-30T06:09:28.135Z, info, POST /admin/register, registered successfully
2023-04-30T06:09:41.538Z, info, POST /admin/register, registered successfully
2023-04-30T06:10:01.033Z, info, POST /admin/register, registered successfully
2023-04-30T06:10:39.999Z, info, POST /admin/login, login successfully
2023-04-30T06:10:54.265Z, info, POST /admin/uploadProducts,  file uploaded
2023-04-30T06:11:01.729Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T06:11:32.482Z, info, POST /admin/login, login successfully
2023-04-30T06:12:28.438Z, info, POST /admin/login, login successfully
2023-04-30T06:12:57.330Z, info, POST /admin/createOrder, purchased successfully
2023-04-30T06:14:39.733Z, info, POST /admin/createOrder, purchased successfully
2023-04-30T06:16:39.910Z, info, POST /admin/createOrder, purchased successfully
2023-04-30T06:32:26.648Z, info, POST /admin/createOrder, purchased successfully
2023-04-30T06:33:17.924Z, info, POST /admin/login, login successfully
2023-04-30T06:44:47.275Z, info, POST /app/login, login successfully
2023-04-30T06:45:55.314Z, info, GET /app/listProducts, product fetched successfully
2023-04-30T07:06:27.683Z, info, GET /app/listProducts, product fetched successfully
2023-04-30T07:11:28.870Z, error, PUT /app/updateOrder/2, unable to update order
2023-04-30T07:11:50.185Z, error, PUT /app/updateOrder/2, unable to update order
2023-04-30T07:14:38.958Z, error, PUT /app/updateOrder/2, unable to update order
2023-04-30T07:14:48.974Z, error, PUT /app/updateOrder/2, unable to update order
2023-04-30T07:31:53.770Z, error, PUT /app/updateOrder/1, unable to update order
2023-04-30T07:34:30.414Z, info, POST /app/login, login successfully
2023-04-30T08:32:24.120Z, info, POST /app/login, login successfully
2023-04-30T08:48:26.940Z, info, PUT /app/updateOrder/1, purchased successfully
2023-04-30T08:50:50.437Z, info, POST /app/login, login successfully
2023-04-30T08:51:14.956Z, info, POST /app/createOrder, purchased successfully
2023-04-30T08:51:56.884Z, info, PUT /app/updateOrder/3, purchased successfully
2023-04-30T08:52:50.485Z, info, PUT /app/updateOrder/3, purchased successfully
2023-04-30T08:53:27.740Z, info, PUT /app/updateOrder/3, purchased successfully
2023-04-30T08:56:02.411Z, info, PUT /app/updateOrder/3, purchased successfully
2023-04-30T08:56:02.443Z, error, PUT /app/updateOrder/3, unable to update order
2023-04-30T08:56:05.226Z, info, PUT /app/updateOrder/3, purchased successfully
2023-04-30T08:56:05.241Z, error, PUT /app/updateOrder/3, unable to update order
2023-04-30T08:56:20.088Z, info, PUT /app/updateOrder/3, purchased successfully
2023-04-30T08:57:01.727Z, info, POST /app/createOrder, purchased successfully
2023-04-30T08:57:34.292Z, info, PUT /app/updateOrder/4, purchased successfully
2023-04-30T08:58:50.162Z, info, PUT /app/updateOrder/4, purchased successfully
2023-04-30T08:59:48.476Z, info, POST /app/login, login successfully
2023-04-30T09:00:29.223Z, info, PUT /app/updateOrder/1, purchased successfully
2023-04-30T09:03:48.621Z, info, POST /app/register, registered successfully
2023-04-30T09:04:09.342Z, info, POST /app/login, login successfully
2023-04-30T09:04:37.700Z, info, POST /app/createOrder, purchased successfully
2023-04-30T09:05:38.369Z, info, PUT /app/updateOrder/5, purchased successfully
2023-04-30T09:08:16.768Z, info, POST /app/createOrder, purchased successfully
2023-04-30T09:12:45.498Z, info, POST /app/login, login successfully
2023-04-30T09:18:43.865Z, error, DELETE /app/cancelOrder/6, Unable to delete
2023-04-30T09:30:23.832Z, info, DELETE /app/cancelOrder/6, order deleted successfully
2023-04-30T09:39:38.241Z, info, POST /app/login, login successfully
2023-04-30T09:39:51.533Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T09:40:13.066Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T09:42:49.319Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T10:05:02.074Z, info, POST /app/login, login successfully
2023-04-30T10:07:22.248Z, info, PUT /app/editProduct/10, product edited successfully
2023-04-30T10:08:07.205Z, info, PUT /app/editProduct/10, product edited successfully
2023-04-30T10:14:04.328Z, info, PUT /app/editProduct/10, product edited successfully
2023-04-30T10:15:01.977Z, info, PUT /app/editProduct/10, product edited successfully
2023-04-30T10:15:14.898Z, info, PUT /app/editProduct/10, product edited successfully
2023-04-30T10:27:18.326Z, info, PUT /app/editProduct/10, product edited successfully
2023-04-30T10:27:23.636Z, info, PUT /app/editProduct/10, product edited successfully
2023-04-30T10:27:37.383Z, info, PUT /app/editProduct/10, product edited successfully
2023-04-30T10:27:57.922Z, info, PUT /app/editProduct/10, product edited successfully
2023-04-30T10:29:09.366Z, info, POST /app/login, login successfully
2023-04-30T10:32:02.104Z, error, GET /app/listOrders, unable to fetch
2023-04-30T10:32:13.944Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T10:32:26.100Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T10:33:14.868Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T10:33:18.506Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T10:33:34.267Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T10:33:44.211Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T10:33:46.430Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T10:33:48.928Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T10:33:56.148Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T12:53:42.494Z, info, POST /app/login, login successfully
2023-04-30T12:59:06.815Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T12:59:21.666Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T13:02:26.121Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T13:03:01.372Z, info, GET /app/listOrders, orders fetched successfully
2023-04-30T13:03:20.468Z, info, GET /app/listOrders, orders fetched successfully
